,fecha,centro,almacen,tipo_stock,material,cantidad_teorica,cantidad_contada,stock_diferencia,impacto_valor,diferencia_absoluta,diferencia_porcentual,impacto_economico_abs
0,2026-01-08,R241,FB01,Almacén,BARBT410001,1355.105,619.612,-735.493,148056213.0,735.493,54.27572033163482,148056213.0
2,2026-01-08,R241,FB01,Almacén,CWSEU410001,240871.35,248226.0,7354.65,2574128.0,7354.65,3.053351924170309,2574128.0
4,2026-01-08,R241,FB01,Almacén,PASTA410001,205.578,816.77,611.192,171887360.0,611.192,297.3041862456099,171887360.0
96,2026-01-08,R241,FB01,Almacén,TRITU410001,40.71,50.558,9.848,248426.0,9.848,24.190616556128717,248426.0
98,2026-01-08,R241,MP01,Almacén,1006601,799.999,800.0,0.001,2.0,0.001,0.0001250001562501953,2.0
100,2026-01-08,R241,MP01,Almacén,1007039,14337.272,13394.001,-943.271,1152322.0,943.271,6.579152575190035,1152322.0
102,2026-01-08,R241,MP01,Almacén,1007042,362.12,390.358,28.238,1751192.0,28.238,7.797967524577489,1751192.0
106,2026-01-08,R241,MP01,Almacén,1007131,7258.047,6581.0,-677.047,1965575.0,677.047,9.328225623228949,1965575.0
108,2026-01-08,R241,MP01,Almacén,1007151,475195.953,445757.938,-29438.015,9381663.0,29438.015,6.194921234945787,9381663.0
110,2026-01-08,R241,MP01,Almacén,1007152,16488.334,14250.0,-2238.334,6183520.0,2238.334,13.575258725350906,6183520.0
270,2026-01-08,R241,MP01,Almacén,2005265,1945.343,2037.0,91.657,383458.0,91.657,4.711611268552641,383458.0
272,2026-01-08,R241,MP01,Almacén,2005285,4460.57,4000.0,-460.57,19346.0,460.57,10.325362005304255,19346.0
296,2026-01-08,R241,MP01,Almacén,2007001,907.713,885.0,-22.713,927034.0,22.713,2.5022226188233505,927034.0
298,2026-01-08,R241,MP01,Almacén,2007007,1184.994,1113.0,-71.994,3527702.0,71.994,6.075473799867342,3527702.0
300,2026-01-08,R241,MP01,Almacén,2007008,109865.098,115000.0,5134.902,437000.0,5134.902,4.673824620809058,437000.0
302,2026-01-08,R241,MP01,Almacén,2007012,1862.77,1350.0,-512.77,21491.0,512.77,27.527284635247508,21491.0
